"carro","tempo","link_yt","data_publicacao","duracao_video_min","views","likes","dislikes","url_thumbnail","data_captura"
"Honda CBR 1000 RR",54.697,"https://www.youtube.com/watch?v=MtR6kox6JpE","14/08/2017",0.2,479905,38917,189,"https://i.ytimg.com/vi/MtR6kox6JpE/maxresdefault.jpg","29/08/2020"
"Ducati Panigale SuperNaked",56.63,"https://www.youtube.com/watch?v=MneHyRmdLgw&t=611s","19/12/2016",11.55,303415,15725,109,"https://i.ytimg.com/vi/MneHyRmdLgw/maxresdefault.jpg","29/08/2020"
"Kawasaki Ninja H2R",57.06,"https://www.youtube.com/watch?v=83znhEEAJvI","15/08/2016",0.2,1737156,64483,540,"https://i.ytimg.com/vi/83znhEEAJvI/maxresdefault.jpg","29/08/2020"
"BMW S1000 R",59.581,"https://www.youtube.com/watch?v=6ORK9TXk03I","30/09/2014",0.2,275824,6018,20,"https://i.ytimg.com/vi/6ORK9TXk03I/maxresdefault.jpg","29/08/2020"
"Yamaha YZF-R1",60.326,"https://www.youtube.com/watch?v=c0lka_b3Xok","5/01/2015",0.2,258948,4993,38,"https://i.ytimg.com/vi/c0lka_b3Xok/maxresdefault.jpg","29/08/2020"
"BMW S 1000 XR",60.532,"https://www.youtube.com/watch?v=RLQlIqVmmU4","9/01/2017",0.25,1027228,28063,432,"https://i.ytimg.com/vi/RLQlIqVmmU4/maxresdefault.jpg","29/08/2020"
"Honda CBR 600RR",62.502,"https://www.youtube.com/watch?v=fLsf9eFA25E","21/10/2014",0.2,208447,4858,32,"https://i.ytimg.com/vi/fLsf9eFA25E/maxresdefault.jpg","29/08/2020"
"Ducati Multistrada",62.573,"https://www.youtube.com/watch?v=D0o7822NJTs","18/11/2014",0.25,199707,4220,33,"https://i.ytimg.com/vi/D0o7822NJTs/maxresdefault.jpg","29/08/2020"
"Ducati 1999 Panigale S Senna",63.062,"https://www.youtube.com/watch?v=swkVwGBwQe8","29/02/2016",0.2,879057,21450,215,"https://i.ytimg.com/vi/swkVwGBwQe8/maxresdefault.jpg","29/08/2020"
"Yamaha MT-09 Tracer",64.253,"https://www.youtube.com/watch?v=RLQlIqVmmU4","9/01/2017",0.25,1027228,28063,432,"https://i.ytimg.com/vi/RLQlIqVmmU4/maxresdefault.jpg","29/08/2020"
"Honda CBR 500R",67.965,"https://www.youtube.com/watch?v=9MJtJhzzTF8","27/04/2015",0.2,299247,4777,77,"https://i.ytimg.com/vi/9MJtJhzzTF8/maxresdefault.jpg","29/08/2020"
"Kawasaki Ninja 300",68.902,"https://www.youtube.com/watch?v=0AZEsMmB16Q","16/02/2015",0.25,196838,4440,48,"https://i.ytimg.com/vi/0AZEsMmB16Q/maxresdefault.jpg","29/08/2020"
"Triumph Bonneville Street Twin",70.411,"https://www.youtube.com/watch?v=Y75DzCeE2v8","26/09/2016",0.25,178879,6693,50,"https://i.ytimg.com/vi/Y75DzCeE2v8/maxresdefault.jpg","29/08/2020"
"Lady Luck",71.633,"https://www.youtube.com/watch?v=MneHyRmdLgw&t=611s","19/12/2016",11.55,303415,15725,109,"https://i.ytimg.com/vi/MneHyRmdLgw/maxresdefault.jpg","29/08/2020"
"Bendita Macchina Lusco-Fusco",83.252,"https://www.youtube.com/watch?v=MneHyRmdLgw&t=611s","19/12/2016",11.55,303415,15725,109,"https://i.ytimg.com/vi/MneHyRmdLgw/maxresdefault.jpg","29/08/2020"
"Yamaha Factor 150",93.402,"https://www.youtube.com/watch?v=yEwwah6K-9w","8/08/2016",24.13,1558094,40376,1159,"https://i.ytimg.com/vi/yEwwah6K-9w/maxresdefault.jpg","29/08/2020"
"Bendita Macchina Shodan",96.255,"https://www.youtube.com/watch?v=yEwwah6K-9w","8/08/2016",0.1,1558094,40376,1159,"https://i.ytimg.com/vi/yEwwah6K-9w/maxresdefault.jpg","29/08/2020"
"Honda ML 125 1983",100.449,"https://www.youtube.com/watch?v=yEwwah6K-9w","8/08/2016",24.13,1558094,40376,1159,"https://i.ytimg.com/vi/yEwwah6K-9w/maxresdefault.jpg","29/08/2020"
