"carro","tempo","link_yt","data_publicacao","duracao_video_min","views","likes","dislikes","url_thumbnail","data_captura"
"Porsche 918 Spyder",54.633,"https://www.youtube.com/watch?v=b04sZb-bkOc","30/05/2016",0.25,2647315,85379,625,"https://i.ytimg.com/vi/b04sZb-bkOc/maxresdefault.jpg","29/08/2020"
"Mercedes-AMG GT R",58.157,"https://www.youtube.com/watch?v=BB3y1wO6g3g","9/07/2018",0.25,611513,44670,203,"https://i.ytimg.com/vi/BB3y1wO6g3g/maxresdefault.jpg","29/08/2020"
"Porsche 911 Turbo",58.211,"https://www.youtube.com/watch?v=g9s6WEqP2XI","25/11/2014",0.25,1117259,20213,158,"https://i.ytimg.com/vi/g9s6WEqP2XI/maxresdefault.jpg","29/08/2020"
"Porsche 911 Carrera S (992)",58.753,"https://www.youtube.com/watch?v=Bu5oBQ3ko5I","17/02/2020",13.58,286498,23372,191,"https://i.ytimg.com/vi/Bu5oBQ3ko5I/maxresdefault.jpg","29/08/2020"
"Audi R8 V10 Plus 2018",58.774,"https://www.youtube.com/watch?v=Z3xoi-hhe0o","30/04/2018",0.25,448830,34922,143,"https://i.ytimg.com/vi/Z3xoi-hhe0o/maxresdefault.jpg","29/08/2020"
"Porsche 911 GT2",59.008,"https://www.youtube.com/watch?v=fb4zEY9H3ig","27/07/2015",0.25,966510,29471,159,"https://i.ytimg.com/vi/fb4zEY9H3ig/maxresdefault.jpg","29/08/2020"
"Porsche 718 Boxster GTS",59.235,"https://www.youtube.com/watch?v=L3fYUlywXyQ","1/10/2018",0.25,141681,13014,55,"https://i.ytimg.com/vi/L3fYUlywXyQ/maxresdefault.jpg","29/08/2020"
"Porsche 911 GTS",59.423,"https://www.youtube.com/watch?v=dVXjD7kSa5E","23/04/2018",0.25,269141,25184,219,"https://i.ytimg.com/vi/dVXjD7kSa5E/maxresdefault.jpg","29/08/2020"
"Mercedes-AMG GT S",59.916,"https://www.youtube.com/watch?v=rBL24F00lBg","7/11/2016",0.25,746032,22388,154,"https://i.ytimg.com/vi/rBL24F00lBg/maxresdefault.jpg","29/08/2020"
"Porsche Panamera Turbo",60.232,"https://www.youtube.com/watch?v=zg75R3fByMU","17/09/2018",0.25,227200,19013,227,"https://i.ytimg.com/vi/zg75R3fByMU/maxresdefault.jpg","29/08/2020"
"Jaguar F-Type SVR",60.411,"https://www.youtube.com/watch?v=MtR6kox6JpE","14/08/2017",0.25,479910,38917,189,"https://i.ytimg.com/vi/MtR6kox6JpE/maxresdefault.jpg","29/08/2020"
"BMW M5",60.935,"https://www.youtube.com/watch?v=zg75R3fByMU","17/09/2018",0.25,227200,19013,227,"https://i.ytimg.com/vi/zg75R3fByMU/maxresdefault.jpg","29/08/2020"
"Audi R8 V10 Plus",60.975,"https://www.youtube.com/watch?v=F6NFcbvCd20","30/03/2015",0.1,761895,14205,127,"https://i.ytimg.com/vi/F6NFcbvCd20/maxresdefault.jpg","29/08/2020"
"Porsche 718 Boxster",61.093,"https://www.youtube.com/watch?v=9atesFt6hRI","29/08/2016",0.25,2318446,88794,1269,"https://i.ytimg.com/vi/9atesFt6hRI/maxresdefault.jpg","29/08/2020"
"Audi TT RS",61.325,"https://www.youtube.com/watch?v=mDkLiPWOt9Y","4/06/2018",0.25,455276,33652,172,"https://i.ytimg.com/vi/mDkLiPWOt9Y/maxresdefault.jpg","29/08/2020"
"Mercedes-AMG S 63 Coupé",61.463,"https://www.youtube.com/watch?v=6k2kc2LEDoE","5/09/2016",0.25,697555,21166,150,"https://i.ytimg.com/vi/6k2kc2LEDoE/maxresdefault.jpg","29/08/2020"
"Audi RS6",61.594,"https://www.youtube.com/watch?v=swkVwGBwQe8","29/02/2016",0.25,879060,21450,215,"https://i.ytimg.com/vi/swkVwGBwQe8/maxresdefault.jpg","29/08/2020"
"Jaguar F-Type R",61.78,"https://www.youtube.com/watch?v=CFOvnblNq_A","2/09/2014",0.25,534786,12030,82,"https://i.ytimg.com/vi/CFOvnblNq_A/maxresdefault.jpg","29/08/2020"
