"carro","tempo","link_yt","data_publicacao","duracao_video_min","views","likes","dislikes","url_thumbnail","data_captura"
"Porsche 911 GT3 R",51.863,"https://www.youtube.com/watch?v=OSSC3KMd0x0","11/06/2018",0.2,794845,64501,240,"https://i.ytimg.com/vi/OSSC3KMd0x0/maxresdefault.jpg","29/08/2020"
"Fórmula 3",52.227,"https://www.youtube.com/watch?v=_4wifJ6NEnk","3/07/2017",0.38,868341,49018,257,"https://i.ytimg.com/vi/_4wifJ6NEnk/maxresdefault.jpg","29/08/2020"
"Stock Car V8 #111",54.131,"https://www.youtube.com/watch?v=U8aIkGJkh1E","17/10/2016",0.2,1130567,39927,243,"https://i.ytimg.com/vi/U8aIkGJkh1E/maxresdefault.jpg","29/08/2020"
"Porsche 911 Turbo S Stradale",56.977,"https://www.youtube.com/watch?v=9O75HCR7trQ","10/09/2018",0.2,692330,47656,267,"https://i.ytimg.com/vi/9O75HCR7trQ/maxresdefault.jpg","29/08/2020"
"Nissan GTR (preparado)",58.181,"https://www.youtube.com/watch?v=ZJPRZRdAYOc","20/07/2015",0.2,1807808,49654,393,"https://i.ytimg.com/vi/ZJPRZRdAYOc/maxresdefault.jpg","29/08/2020"
"Kart Shifter",58.667,"https://www.youtube.com/watch?v=wGNC4_uj7o4","23/01/2015",0.1,1716679,41059,556,"https://i.ytimg.com/vi/wGNC4_uj7o4/maxresdefault.jpg","29/08/2020"
"Subaru WRX Speciallizer",58.908,"https://www.youtube.com/watch?v=LKmi0UV-E8w","14/09/2015",0.25,928593,33511,223,"https://i.ytimg.com/vi/LKmi0UV-E8w/maxresdefault.jpg","29/08/2020"
"Porsche 718 Cayman Stradale",59.19,"https://www.youtube.com/watch?v=L3fYUlywXyQ","1/10/2018",0.2,141681,13014,55,"https://i.ytimg.com/vi/L3fYUlywXyQ/maxresdefault.jpg","29/08/2020"
"Audi TT RS Stradale",59.572,"https://www.youtube.com/watch?v=aNCCqU5cmLw","21/01/2019",0.2,360213,29342,59,"https://i.ytimg.com/vi/aNCCqU5cmLw/maxresdefault.jpg","29/08/2020"
"Sprint Race 09",59.701,"https://www.youtube.com/watch?v=6E5m6WWNQU0","3/09/2018",14.78,253564,24810,90,"https://i.ytimg.com/vi/6E5m6WWNQU0/maxresdefault.jpg","29/08/2020"
