"carro","tempo","link_yt","data_publicacao","duracao_video_min","views","likes","dislikes","url_thumbnail","data_captura"
"Porsche Cayenne Turbo",61.984,"https://www.youtube.com/watch?v=8JBgDnZQCYk","10/06/2019",0.2,201192,19268,97,"https://i.ytimg.com/vi/8JBgDnZQCYk/maxresdefault.jpg","29/08/2020"
"Porsche Macan GTS",63.575,"https://www.youtube.com/watch?v=ajLY6fn9xKs","14/01/2019",0.2,142632,12154,69,"https://i.ytimg.com/vi/ajLY6fn9xKs/maxresdefault.jpg","29/08/2020"
"Porsche Macan Turbo",64.811,"https://www.youtube.com/watch?v=erEAKLCYgLQ","16/03/2015",0.2,505099,12699,77,"https://i.ytimg.com/vi/erEAKLCYgLQ/maxresdefault.jpg","29/08/2020"
"Porsche Cayenne",64.887,"https://www.youtube.com/watch?v=h1IhMUfcWwc","16/03/2020",0.2,217121,14959,149,"https://i.ytimg.com/vi/h1IhMUfcWwc/hqdefault.jpg","29/08/2020"
"Audi S Q5",65.855,"https://www.youtube.com/watch?v=6GKUn3y2b2Q","2/03/2015",0.2,119728,3335,10,"https://i.ytimg.com/vi/6GKUn3y2b2Q/maxresdefault.jpg","29/08/2020"
"Porsche Macan",65.933,"https://www.youtube.com/watch?v=KFo09mBuXG4","6/01/2020",0.38,160244,13446,78,"https://i.ytimg.com/vi/KFo09mBuXG4/maxresdefault.jpg","29/08/2020"
"BMW X6 xDrive40i M Sport",66.324,"https://www.youtube.com/watch?v=_Lm0HGrQho8","27/07/2020",0.38,242214,22136,135,"https://i.ytimg.com/vi/_Lm0HGrQho8/hqdefault.jpg","29/08/2020"
"Land Rover Range Rover SRV",66.902,"https://www.youtube.com/watch?v=HkZ8K34bbys","8/02/2016",0.2,493596,15627,113,"https://i.ytimg.com/vi/HkZ8K34bbys/maxresdefault.jpg","29/08/2020"
"Ford Edge ST",68.157,"https://www.youtube.com/watch?v=KFo09mBuXG4","6/01/2020",0.2,160244,13446,78,"https://i.ytimg.com/vi/KFo09mBuXG4/maxresdefault.jpg","29/08/2020"
"Audi Q8 Performance Black",68.361,"https://www.youtube.com/watch?v=_Lm0HGrQho8","27/07/2020",0.38,242214,22136,135,"https://i.ytimg.com/vi/_Lm0HGrQho8/hqdefault.jpg","29/08/2020"
"BMW X5 xDrive30d",69.073,"https://www.youtube.com/watch?v=h1IhMUfcWwc","16/03/2020",0.2,217121,14959,149,"https://i.ytimg.com/vi/h1IhMUfcWwc/hqdefault.jpg","29/08/2020"
"BMW X2",69.413,"https://www.youtube.com/watch?v=7KnyzJJxEwI","8/10/2018",0.25,220162,15653,411,"https://i.ytimg.com/vi/7KnyzJJxEwI/maxresdefault.jpg","29/08/2020"
"Chevrolet Equinox",70.023,"https://www.youtube.com/watch?v=G8g7JWs5his","12/03/2018",0.1,249403,17048,139,"https://i.ytimg.com/vi/G8g7JWs5his/maxresdefault.jpg","29/08/2020"
"Honda HR-V Touring",70.423,"https://www.youtube.com/watch?v=r5k9nRbQs3Q","28/10/2019",0.25,132465,12019,69,"https://i.ytimg.com/vi/r5k9nRbQs3Q/maxresdefault.jpg","29/08/2020"
"Toyota RAV4 Hybrid",70.498,"https://www.youtube.com/watch?v=r5k9nRbQs3Q","28/10/2019",0.25,132465,12019,69,"https://i.ytimg.com/vi/r5k9nRbQs3Q/maxresdefault.jpg","29/08/2020"
"Peugeot 2008 THP",71.063,"https://www.youtube.com/watch?v=dx2cY_MdjTs","16/11/2015",0.25,198611,4897,55,"https://i.ytimg.com/vi/dx2cY_MdjTs/maxresdefault.jpg","29/08/2020"
"Volvo XC40 T4",71.147,"https://www.youtube.com/watch?v=r5k9nRbQs3Q","28/10/2019",0.25,132465,12019,69,"https://i.ytimg.com/vi/r5k9nRbQs3Q/maxresdefault.jpg","29/08/2020"
"Jaguar E-Pace P300 R-Dynamic",71.879,"https://www.youtube.com/watch?v=jBoj2JchIsk","3/06/2019",0.25,109492,12721,391,"https://i.ytimg.com/vi/jBoj2JchIsk/maxresdefault.jpg","29/08/2020"
